Algorithm,Mean (h),Std Dev (h),Avg Energy Used (kWh),Std Energy Used (kWh),Avg CO2 (g),Std CO2 (g)
DQN,24.944537037037037,7.628716934287971,0.879581117798354,0.3771030300751477,0.4409688263625602,0.18878599256636802
REINFORCE,20.97085648148148,4.926156380582816,0.6998233728137857,0.39380123076245144,0.35091202366264534,0.19715959656183424
CMA,8.865277777777777,1.5768784464633392,0.3653785011574075,0.06433261629059531,0.18516739561745924,0.02841389638734124
ODT,36.46505529835391,1.6885548212997412,3.2067042169781694,1.709620614353169,1.6128094307851033,0.8600372204286536
