algorithm,mean,std,count
CMA,-100.42146426826604,3.592332883398538,32
DQN,-90.85836327586024,11.390636964650007,36
ODT,-88.71183997787034,8.635850023729764,72
REINFORCE,-91.81377970766322,4.127864010252258,36
